Dog_Number,Total_Complains,hash_binary
5405,1,00F1EEF1452CD03B2282947B33A6603C35CCAAE1E4E98E7D23A35CC83961EA76
1023,1,7F25C47A417A5BD8E41AD04883E3AD641DAD41510B6D139098013516FC2D767F
1045,1,E0ADC1D89D369D1F2C8DB312ECDDFBB0A66D6B8496B96639F02C29A8E19AD581
6754,2,4B4846C37B7DF59201AA7108D75963AED5A0C7597F0D176DC1289FB19D66032E
8217,1,E755D0337818120A271F7083BEA5602E27F7CCDB1F3151BC02C7334DBF481299
8964,2,CE7E99244302C23ACCB5EFB700104F290428822D38BD7760F0F11A9A8DEA5D43
5237,1,D8C27359E11C9DED7A89E78AABD2E74DE335466A092548BB1FC4BA06FD03073A
6849,2,4D3F400B8F48F9E197DD3D5F5D18E5CC02023FF4C677F533D35F7636E92D270F
382,1,829A3227DFF0D28927470D76D9C57A12B66D2C98F36061C2C74BED1F47717D31
4624,1,EC73A5BC4C351B70C6D7B4490DE61A42254722C95460CD12E3A54DE0482DE509
5488,4,83FAA3574113D679804145000587F5160EBCF9F6123852E276B0668D38782BBA
5062,1,C7E7E9C495D227DA3EB2257203837BE93FF4D219D4520461EA09B27D3D3EAD14
5176,1,B4495BF71F7148E641BE9AC2C9767B3737F1AED3056D9107FFD589057ACCE4C9
32,3,A9BF44B6E797DAAA96B1717C6D7B9D3F6846E4AC70037383AB11FC023360F0E3
2095,4,7D3A73ADD8729900278103E53AF015AB0F90F9202E0190797602C6D4D07184FE
2140,1,A0AC01C9B16BFFE6ECCACD135FBA48F96A02504656A3367EB586C3FED5EFC904
105,2,50003998A4CB1809392CCC04788FFDD692E4E96EEF0BD651A4A72B1C7D618CE0
2453,1,067EDC935B76F43DE2ABE287CF50C99855C4875E54D8B77720460937065C1FCD
7824,2,7E1678D3AFD1AF173621995F8C84E194FA4C43882CAAB96213617C821B2A97E3
2414,10,321E25935FDB6D509C21B7E2CAA68687121A7BB0845490EBD2955943E0937D4C
7768,6,55CB680FF779AF60945275754F0863D8F4EBD69729035D779B334FEC0231F4D6
2564,1,CC9C42AEE329DA83A5F1D19F703042042AC08F3EF51FD911120CE9D7DF4B5460
