Dog_Number,Microchip_Flag,Microchip_Brand,Offence_Free_Flag,Active_Dog_Record
235886,Y,MICROCHIP,Y,N
232635,Y,MICROCHIP,N,N
233920,Y,MICROCHIP,Y,N
236146,Y,MICROCHIP,N,N
235236,Y,MICROCHIP,Y,N
229011,Y,MICROCHIP,Y,N
235007,Y,MICROCHIP,Y,N
235920,Y,MICROCHIP,Y,N
228682,Y,MICROCHIP,Y,N
226843,Y,MICROCHIP,N,N
233641,Y,MICROCHIP,Y,N
228683,Y,MICROCHIP,Y,N
235001,Y,MICROCHIP,Y,N
235668,Y,MICROCHIP,Y,N
235669,Y,MICROCHIP,Y,N
227430,Y,MICROCHIP,Y,N
226201,Y,MICROCHIP,Y,N
235430,Y,MICROCHIP,Y,N
235235,Y,MICROCHIP,Y,N
224036,Y,MICROCHIP,Y,N
234363,Y,MICROCHIP,Y,N
233374,Y,MICROCHIP,Y,N
133048,Y,MICROCHIP,Y,N
230172,Y,MICROCHIP,Y,N
236259,Y,MICROCHIP,Y,N
233349,Y,MICROCHIP,Y,N
232184,Y,MICROCHIP,Y,N
230917,Y,MICROCHIP,Y,N
230857,Y,MICROCHIP,Y,N
230033,Y,MICROCHIP,Y,N
227900,Y,MICROCHIP,Y,N
224165,Y,MICROCHIP,Y,N
223862,Y,MICROCHIP,Y,N
229579,Y,MICROCHIP,Y,N
234899,Y,MICROCHIP,Y,N
220886,Y,MICROCHIP,Y,N
225737,Y,MICROCHIP,Y,N
225709,Y,MICROCHIP,Y,N
222098,N,,Y,N
203222,Y,MICROCHIP,Y,N
182192,Y,MICROCHIP,Y,N
222445,Y,MICROCHIP,Y,N
181491,Y,MICROCHIP,Y,N
235557,Y,MICROCHIP,Y,N
234590,Y,MICROCHIP,Y,N
229730,Y,MICROCHIP,Y,N
232049,Y,MICROCHIP,Y,N
218869,Y,MICROCHIP,Y,N
172848,Y,NOTREQ,Y,N
235508,Y,MICROCHIP,Y,N
235558,Y,MICROCHIP,Y,N
234679,Y,MICROCHIP,Y,N
233847,Y,MICROCHIP,N,N
235176,Y,MICROCHIP,Y,N
234900,Y,MICROCHIP,Y,N
233180,Y,MICROCHIP,Y,N
233648,Y,MICROCHIP,N,N
232085,Y,MICROCHIP,Y,N
235833,Y,MICROCHIP,N,N
234612,Y,MICROCHIP,N,N
232707,Y,MICROCHIP,Y,N
230491,Y,MICROCHIP,Y,N
230385,Y,MICROCHIP,Y,N
234825,Y,MICROCHIP,Y,N
227835,Y,MICROCHIP,Y,N
224606,Y,MICROCHIP,Y,N
223623,Y,MICROCHIP,N,N
222932,Y,MICROCHIP,Y,N
235968,Y,MICROCHIP,Y,N
223948,Y,MICROCHIP,Y,N
221049,Y,MICROCHIP,Y,N
165065,Y,MICROCHIP,Y,N
219535,Y,MICROCHIP,Y,N
124311,Y,MICROCHIP,Y,N
235630,N,,Y,N
236104,N,,Y,N
227183,Y,MICROCHIP,Y,N
226391,N,,U,N
228892,Y,MICROCHIP,Y,N
226293,Y,MICROCHIP,Y,N
235931,N,,Y,N
235756,N,,Y,N
230521,Y,MICROCHIP,Y,N
236081,N,,Y,N
226774,Y,MICROCHIP,Y,N
227321,Y,MICROCHIP,Y,N
226447,Y,MICROCHIP,Y,N
234826,Y,MICROCHIP,Y,N
198551,Y,MICROCHIP,Y,N
237156,Y,MICROCHIP,U,N
237152,Y,MICROCHIP,U,N
233757,Y,MICROCHIP,N,N
231817,Y,MICROCHIP,Y,N
